[00000000.0] INICIO   captura ligada
[00001634.2] HITCH    frame APRESENTADO em 33ms (30fps) — work=2ms (o resto foi vsync/GPU) ph=0.0s
[00001634.2] STATE    ph=0.0s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=0(need~30) present=33ms atraso=-0.03s work=2ms
[00001666.9] HITCH    frame APRESENTADO em 33ms (30fps) — work=1ms (o resto foi vsync/GPU) ph=0.0s
[00002149.8] STATE    ph=0.5s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=27(need~30) present=17ms atraso=-0.02s work=1ms
[00002651.6] STATE    ph=1.0s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=3ms
[00003151.7] STATE    ph=1.5s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=2ms
[00003651.7] STATE    ph=2.0s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=2ms
[00004167.1] STATE    ph=2.5s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.01s work=1ms
[00004669.5] STATE    ph=3.0s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=0.00s work=1ms
[00005171.1] STATE    ph=3.5s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=2ms
[00005686.3] STATE    ph=4.0s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=0.00s work=1ms
[00006187.8] STATE    ph=4.5s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.03s work=2ms
[00006693.2] STATE    ph=4.9s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=28(need~30) present=17ms atraso=-0.02s work=6ms
[00007204.6] STATE    ph=5.5s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.01s work=1ms
[00007722.4] STATE    ph=6.0s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=31(need~30) present=17ms atraso=-0.02s work=2ms
[00008222.5] STATE    ph=6.5s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=2ms
[00008737.9] STATE    ph=7.0s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=1ms
[00009238.1] STATE    ph=7.5s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=28(need~30) present=17ms atraso=-0.01s work=1ms
[00009740.5] STATE    ph=7.9s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.03s work=3ms
[00010241.0] STATE    ph=8.4s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.03s work=3ms
[00010755.8] STATE    ph=8.9s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=1ms
[00011256.4] STATE    ph=9.4s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=28(need~30) present=17ms atraso=-0.00s work=1ms
[00011773.9] STATE    ph=9.9s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=31(need~30) present=17ms atraso=-0.02s work=2ms
[00012274.0] STATE    ph=10.4s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=2ms
[00012791.0] STATE    ph=10.9s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=2ms
[00013308.6] STATE    ph=11.4s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.03s work=2ms
[00013810.3] STATE    ph=11.9s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.03s work=3ms
[00014310.4] STATE    ph=12.4s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=28(need~30) present=17ms atraso=-0.01s work=3ms
